customer_id,age,gender,annual_income,total_spent,num_purchases,avg_purchase_value,online_activity_score,loyalty_program,days_since_last_purchase,num_site_visits,customer_segment
CUST_0001,56,Male,65648,49624.926757702924,17,467.7299720591412,52.52584187815833,0,235,61,medium_value
CUST_0002,69,Male,123537,46357.34829942234,196,874.7998287462409,11.120874733821873,0,182,48,medium_value
CUST_0003,46,Male,145991,27043.860800999923,175,207.41929276041074,86.8169295326504,0,199,50,medium_value
CUST_0004,32,Female,29516,42117.461389383425,25,131.74948392033758,29.73615313084723,0,356,32,medium_value
CUST_0005,60,Male,132863,26095.803065874905,94,289.081236217919,16.253798746870785,1,245,29,high_value
CUST_0006,25,Male,135005,31216.92583133771,21,533.9195097911182,67.56213095982433,0,352,58,medium_value
CUST_0007,38,Male,22396,4547.309162589229,84,513.0089864322914,3.808630059931928,0,110,75,medium_value
CUST_0008,56,Female,104082,37787.993982790715,140,821.4957638882037,61.996856487416416,0,5,14,medium_value
CUST_0009,36,Female,39129,6472.902833398218,37,407.5458131219973,69.81984306764998,0,235,81,medium_value
CUST_0010,40,Male,148322,41320.774749601165,42,486.9227041600511,21.491653138671918,0,126,91,medium_value
CUST_0011,28,Male,21591,39123.20157475225,145,18.30084484309866,4.196407344363429,0,103,22,medium_value
CUST_0012,28,Male,31303,35466.360417374526,101,412.6905402607244,36.36453589194496,0,236,77,medium_value
CUST_0013,41,Male,50561,1904.4029881856295,48,649.5353617855903,9.859423024193648,1,154,93,medium_value
CUST_0014,53,Female,91719,15226.104961671897,103,20.430788973459222,11.647784967333708,0,256,96,medium_value
CUST_0015,57,Female,138618,13229.317238551059,28,284.4775553603125,25.426123144486457,0,234,44,medium_value
CUST_0016,41,Female,112108,18070.8067328288,41,211.916577492943,29.54679246267593,1,288,61,medium_value
CUST_0017,20,Female,148748,4473.373063515543,99,46.77550176504029,52.99703410214206,0,39,78,medium_value
CUST_0018,39,Male,119616,46854.19536925003,47,481.86378946496484,67.83918855030132,1,287,70,medium_value
CUST_0019,19,Male,144165,27734.731811547575,146,185.81467676201572,59.277094087018476,0,196,14,medium_value
CUST_0020,41,Male,106231,15345.663101835375,105,744.3661319332232,14.83603372895168,0,272,45,medium_value
CUST_0021,61,Female,27314,19909.377702006743,124,848.6882443445318,17.208603245262644,0,263,63,medium_value
CUST_0022,47,Male,137071,22415.406771191298,199,547.857256755802,87.87692497929145,0,56,45,medium_value
CUST_0023,55,Female,39623,30069.6572346948,13,981.7988058085358,55.83523150641136,0,297,55,medium_value
CUST_0024,19,Female,87675,25832.403442055238,141,453.2261786132424,86.9937832897689,1,97,43,high_value
CUST_0025,38,Male,132992,45977.659463399425,100,515.8013691737909,37.154651131987436,0,136,74,medium_value
CUST_0026,50,Male,116826,24898.47779700093,31,989.2716651879614,61.44000074313239,0,86,28,medium_value
